date,DJCI-GSNECI,DJCI-GSNECI-smth,DJCI-MSCI_W,DJCI-MSCI_W-smth,DJCI-GSCI,DJCI-GSCI-smth,DJCI-MSCI_EM,DJCI-MSCI_EM-smth,DJCI-SPX,DJCI-SPX-smth,DJCI-GSECI,DJCI-GSECI-smth
1995-04-01,,,,,,,,,,,,
1995-05-01,,,,,,,,,,,,
1995-06-01,,,,,,,,,,,,
1995-07-01,,,,,,,,,,,,
1995-08-01,,,,,,,,,,,,
1995-09-01,,,,,,,,,,,,
1995-10-01,,,,,,,,,,,,
1995-11-01,,,,,,,,,,,,
1995-12-01,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,
1996-02-01,,,,,,,,,,,,
1996-03-01,,,,,,,,,,,,
1996-04-01,,,,,,,,,,,,
1996-05-01,,,,,,,,,,,,
1996-06-01,,,,,,,,,,,,
1996-07-01,,,,,,,,,,,,
1996-08-01,,,,,,,,,,,,
1996-09-01,,,,,,,,,,,,
1996-10-01,,,,,,,,,,,,
1996-11-01,,,,,,,,,,,,
1996-12-01,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,
1997-02-01,,,,,,,,,,,,
1997-03-01,,,,,,,,,,,,
1997-04-01,,,,,,,,,,,,
1997-05-01,,,,,,,,,,,,
1997-06-01,,,,,,,,,,,,
1997-07-01,,,,,,,,,,,,
1997-08-01,,,,,,,,,,,,
1997-09-01,,,,,,,,,,,,
1997-10-01,,,,,,,,,,,,
1997-11-01,,,,,,,,,,,,
1997-12-01,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,
1998-02-01,,,,,,,,,,,,
1998-03-01,,,,,,,,,,,,
1998-04-01,,,,,,,,,,,,
1998-05-01,,,,,,,,,,,,
1998-06-01,,,,,,,,,,,,
1998-07-01,,,,,,,,,,,,
1998-08-01,,,,,,,,,,,,
1998-09-01,,,,,,,,,,,,
1998-10-01,,,,,,,,,,,,
1998-11-01,,,,,,,,,,,,
1998-12-01,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,
1999-02-01,,,,,,,,,,,,
1999-03-01,,,,,,,,,,,,
1999-04-01,0.9378705486640933,0.9909161094537944,0.9322135672538828,0.9344465206376014,0.9805265693269706,0.9994161164779634,0.9744492727112943,0.9763075267128323,0.7664814535788473,0.596745603544142,0.98215082053176,0.9992992843165783
1999-05-01,0.9381979139405989,0.9919739218806898,0.9456685586080231,0.9368843029911746,0.9807343315366674,0.9994957259504061,0.971335933674383,0.9760441493463565,0.8314413798606818,0.5918314976272827,0.9813063054494229,0.9993472808479027
1999-06-01,0.9639309446823281,0.993068040235701,0.9679660536183645,0.9382363825372069,0.9856746356019508,0.9995811033984573,0.9698282559933646,0.9741590404461059,0.8759854504845582,0.5786058405870345,0.9848224311835978,0.9994162882824131
1999-07-01,0.9732134618178019,0.9938448803168063,0.9834257527382995,0.9348271234477394,0.9917133237550458,0.9996475624954712,0.9836121904511936,0.9726600853450436,0.7097062346248795,0.559816253095085,0.9908778878043256,0.9994746190354653
1999-08-01,0.9646850931281878,0.9945634504463539,0.9737025776848869,0.9237135392239392,0.9897940834402422,0.9996667279086944,0.9722644890332515,0.9661430947191253,0.7340520029074651,0.5508718832186268,0.9885115103187576,0.9994679121507488
1999-09-01,0.9742075754458286,0.9954127046717742,0.967675718599591,0.9130623752251139,0.9928083179950957,0.9997028690130865,0.9714078727614635,0.9603374204173282,0.4590080457695521,0.5367074410615933,0.9906114463892328,0.9994890830002332
1999-10-01,0.9774038854163658,0.9955558992186988,0.9488094735226903,0.9027389580439112,0.9932715889165699,0.9997181405194695,0.9472017473504226,0.9541291956881599,0.41710060080822986,0.5431074311720938,0.9909688473971818,0.9995038750221605
1999-11-01,0.9793768611663058,0.9956989627017646,0.8570670734022525,0.8948043194749414,0.9928344527940857,0.9997366667943901,0.9397647389476046,0.950466211806359,0.47790078132698355,0.5539566828197007,0.9905598589306845,0.999529335487999
1999-12-01,0.9787639232001253,0.9958034498320817,0.8631430066507805,0.893728124434841,0.9908502745603014,0.9997606096488132,0.9355877033884961,0.9479464423686907,0.5751616779415702,0.5604781930407274,0.9885857067794539,0.9995697461229562
2000-01-01,0.9778773791727458,0.9959927912335611,0.9108757227409219,0.892642294673397,0.991437299596186,0.9997912902951731,0.9571197837662204,0.9440336530784059,0.6279556799122743,0.5573884001816959,0.9894081328884748,0.9996221147851103
2000-02-01,0.985219178500816,0.9962978942213281,0.7550931934165792,0.8848580691923434,0.9933729853333493,0.9998266484078179,0.9363109130627352,0.9343021318310074,0.5272431733040301,0.5482034750246929,0.9919223613069279,0.9996830469857896
2000-03-01,0.9661249656236389,0.9963818296744975,0.7422357663693588,0.8899625682244543,0.9905973721471117,0.9998525084353214,0.9270902584584543,0.9271080133270994,0.5081803580852111,0.549661404323454,0.9880270809828,0.9997293304681706
2000-04-01,0.9497187223718007,0.9966628501142893,0.7495655431192414,0.8971338567542324,0.9797637102231973,0.9998901891161567,0.9168265449009165,0.9211944025373087,0.543560320811764,0.5534217262177049,0.9705534057690632,0.9997962536273473
2000-05-01,0.9506813378721616,0.9969350252169706,0.7989278964981703,0.9037519434227301,0.9797816084559265,0.9999340295846351,0.9214150473102476,0.9170166072812573,0.5293525840149895,0.552863286992763,0.9708871587270345,0.9998764871337087
2000-06-01,0.9451184081390646,0.9972271756094548,0.655492744083066,0.9057573218225288,0.9958157347302983,0.9999659567055217,0.8153595729658918,0.9063552709103544,0.20577136663163798,0.5543492923990574,0.9939231567926503,0.9999352939613433
2000-07-01,0.9152867623270511,0.9976083906763853,0.7153559364694266,0.9180682734586125,0.9962310712377624,0.9999748667118982,0.8379631206444309,0.9075912573308353,0.2852140198074775,0.6051779249455195,0.9946156690887518,0.9999510692082212
2000-08-01,0.9395088360761498,0.9981470187172732,0.8133367387910067,0.9272666165822849,0.9975810510045947,0.9999827693038708,0.899643867803445,0.9076865198712067,0.2898194926531208,0.6451046820910933,0.9966097138132609,0.9999650798227007
2000-09-01,0.9780415680696591,0.9985370432611569,0.9079516524438392,0.9308270706252451,0.999671230394598,0.9999870681531076,0.9028132825876714,0.9005644366210253,0.3194229754899851,0.6858556023658231,0.9995362481866762,0.999972604054761
2000-10-01,0.9742454321067946,0.9986847926321121,0.8848610944872275,0.9270458074920875,0.9991732345257214,0.9999810927577661,0.8717374368903312,0.8933917989409301,0.33263021196047515,0.7246661652157981,0.9988882436530379,0.9999592099965229
2000-11-01,0.9751338161224716,0.99890013512819,0.8943828958604576,0.9247639305938378,0.9984698262227802,0.9999786735022131,0.8906925749680632,0.8877230149645406,0.5135873545759985,0.764412825641399,0.9978147963067272,0.9999521190556141
2000-12-01,0.9929682621560492,0.9990695455929278,0.5894899814907866,0.9217648649393236,0.9994159226059156,0.9999814030178373,0.6401761914209467,0.8764239990742735,0.3365193871447316,0.7876164284250513,0.9991492279573229,0.9999561148365875
2001-01-01,0.9898748596436258,0.9989839347514256,0.594341596325625,0.9377525965921661,0.9986798230525953,0.9999787592621614,0.6406798903609092,0.8902306896994603,0.3916493096710332,0.8306321903504091,0.9979567895751409,0.9999491247316012
2001-02-01,0.9888228935247265,0.998983830214463,0.5779461714429674,0.9523125927734388,0.996405147852857,0.9999804564344537,0.5503578099200528,0.9043400250833122,0.4216729082842048,0.8666835588928443,0.9952655412057425,0.9999504730276026
2001-03-01,0.985851981750471,0.9990003874197564,0.6576100233438195,0.9659374089420112,0.9945941951213777,0.9999828969580988,0.6050197452050288,0.9233529595811236,0.47347836287658607,0.8979480256953702,0.9931031220650266,0.9999533141926646
2001-04-01,0.9954406494076835,0.9990975875631658,0.8413666014174969,0.9751417446785151,0.9974358810749893,0.9999878677208205,0.8010542038966075,0.9379454978906185,0.7953703408874495,0.9237559786116722,0.9956454305247245,0.9999624036354974
2001-05-01,0.9957687492535447,0.9988695256061423,0.875468632087546,0.9778320635822217,0.9975912612254572,0.9999894102024645,0.791558207625295,0.941003300785916,0.7487242809502367,0.927252559293314,0.9961249125826184,0.9999681103386289
2001-06-01,0.9944909964087244,0.9985893548203313,0.8726627158320784,0.9793996018988547,0.9966285084015047,0.9999912024252476,0.7720151193592543,0.9451570803503626,0.6701684445521721,0.9349332595674811,0.9950298053268889,0.999974274947923
2001-07-01,0.9872262167053307,0.9983523311581384,0.9107130715085916,0.9813412853063158,0.9987248401920434,0.9999940811559737,0.7973035537634201,0.9507568084926104,0.7868450344803308,0.9468336598851161,0.9983324255805093,0.9999827706048834
2001-08-01,0.982768729062425,0.9983433076333864,0.9104149455566445,0.9822470252177575,0.9977631511650419,0.9999946459134288,0.8141457137300359,0.9556838934898244,0.7985802924757053,0.9528574282573279,0.9971631188790738,0.9999828762764529
2001-09-01,0.9803025430197408,0.9984766469133894,0.9124700853081785,0.9834065385836328,0.9965282336261085,0.9999963971340162,0.8055952806755575,0.9599179902129888,0.8048473848665316,0.9586400791161183,0.9955632349371915,0.9999868538089766
2001-10-01,0.9991253971137847,0.9987077733144047,0.9925100503055773,0.9846037659699691,0.9998877951573019,0.9999982896395814,0.9840119147569102,0.9649922796739104,0.9870602657626912,0.9646540281074902,0.9998460036243016,0.9999925497899533
2001-11-01,0.999202518788523,0.9980585979801218,0.98868245909351,0.9781952106522527,0.9998292186134886,0.99999672928068,0.9673623496114725,0.9535307475227618,0.970598165998631,0.9485583656507972,0.9997853344413423,0.9999861641204247
2001-12-01,0.9977718502179265,0.9970932702955366,0.9849639291182966,0.9712540288373113,0.999442027891273,0.9999945584438631,0.9588981385521962,0.9439219200571884,0.9643006827195715,0.9341144753239703,0.9984983299402934,0.9999771886192605
2002-01-01,0.9973692373352734,0.9958231201503742,0.9841639503322583,0.9631537320623106,0.9988924525814231,0.9999934474736552,0.9251208983910159,0.9328813212709387,0.9606090417886528,0.9186627723982334,0.996885492042021,0.9999734165726755
2002-02-01,0.9956535631056436,0.9938944003559917,0.9841633898327623,0.9534809109859368,0.9983626481766594,0.9999938700896598,0.9093796077592392,0.9254630826573875,0.9607906200375211,0.9018185725056467,0.9957199566005397,0.9999760674869305
2002-03-01,0.9912895989267579,0.9918755445228444,0.9742462569803989,0.9410312710341338,0.9975731692472376,0.9999953505744702,0.8987400196779463,0.9198305927375172,0.9132242888607447,0.8817872975617811,0.9942054632543644,0.9999821057305173
2002-04-01,0.9894761414310794,0.9902777111935948,0.9904904373440488,0.9292105562049862,0.9999464499243018,0.9999969638605148,0.9675553024472072,0.9156234180018328,0.9678412357650155,0.8679289498976341,0.9998567273112033,0.999988106935864
2002-05-01,0.9813427643279578,0.989014495281364,0.9870546050154065,0.9070391239133431,0.9998481069430052,0.9999932980084109,0.9651765587862315,0.899538844257807,0.9643096386343515,0.8352623236411768,0.9995966191584863,0.9999752548554327
2002-06-01,0.9481459644192354,0.9873403445559876,0.9836954761251944,0.8770669671952454,0.9996673918691548,0.9999889044628818,0.9624021716475342,0.8815455382714809,0.9612958023414647,0.7935763234036133,0.999165234929881,0.9999608917424299
2002-07-01,0.9597579524755724,0.9874709826983534,0.9432659197950537,0.8421828376906231,0.9995454803639492,0.9999844993909048,0.8832127761115822,0.8617592854417091,0.854914355766921,0.7412139459461857,0.9988736045371827,0.9999458703255193
2002-08-01,0.9261757222949097,0.9861677881499952,0.9283503294615678,0.8147645577647482,0.9991295982417951,0.9999795156277953,0.8824462310209757,0.8524229312972572,0.8453738033672198,0.7087450574531599,0.9981644103729115,0.9999316270214207
2002-09-01,0.952131126459354,0.9865308246400215,0.9246116464016765,0.7763699081095911,0.9993954938812808,0.9999776681691548,0.8988406547191953,0.8387049660466089,0.8375484322789786,0.6602935256593022,0.9986487298999867,0.9999254399115147
2002-10-01,0.9608422068538998,0.9857164345645739,0.7477457463120906,0.7335367633761635,0.9993006293807689,0.9999739117641755,0.7215953874979206,0.8211340668904186,0.7326151349728472,0.6107283877724605,0.9985395859917234,0.9999161807385544
2002-11-01,0.9341668248750631,0.9840900570641429,0.7077665701956992,0.7193789006009389,0.9986005750558058,0.9999704050997402,0.6911118021407057,0.8239098248025276,0.7258195913366777,0.5807513743578046,0.9972890782790214,0.9999102215982274
2002-12-01,0.926794856846245,0.9837542485286436,0.714123075641332,0.7111365437101265,0.9979317451336984,0.9999711508865816,0.7104352761315111,0.8309860472924645,0.7350300646778355,0.5504558677291819,0.9962664838950411,0.9999151087622524
2003-01-01,0.8672597563793958,0.9840403739312016,0.5861031353391362,0.7019344820514448,0.996980669762865,0.9999764417759653,0.6131003554282135,0.8366051175428135,0.6659095869582826,0.5155633921012037,0.9942387996442144,0.9999313716535445
2003-02-01,0.9017800725698828,0.986113397127049,0.4140811127932722,0.7105220381448355,0.9983817631993512,0.9999826606086216,0.50573848391121,0.8520649820264774,0.5390740930715523,0.4897731705676036,0.9968433373595056,0.9999475725205873
2003-03-01,0.8555877674715131,0.9874178387665096,0.3835044313593078,0.7440540365387457,0.9971854901933446,0.9999863746593638,0.45333592962105995,0.8770288608733612,0.42527107944527165,0.48232411795627084,0.9947863269907216,0.9999572953209951
2003-04-01,0.924977113860452,0.9896927025179167,0.4461680312408993,0.7814868524131036,0.9992823452024329,0.9999909006159153,0.6353076741657399,0.9048064973444903,0.4101010533058185,0.4939867387019595,0.9987934157636866,0.9999690850924241
2003-05-01,0.9079825453849264,0.9905466159115668,0.3508053835158106,0.8115179234934722,0.9986081538470724,0.999987599428386,0.522492988561887,0.9204783274174582,0.3447150512134213,0.5085314558417303,0.9978139700130382,0.9999578027106999
2003-06-01,0.9706148674282524,0.9919660733400607,0.6303335146333181,0.8508793122289676,0.9994365896205408,0.9999848048598613,0.7936677566691638,0.9411521754566914,0.5892309640638923,0.5355976034505012,0.9990244758894411,0.9999461930459669
2003-07-01,0.9684423520154324,0.9915520248433223,0.6022484759571303,0.8632434904453674,0.9988135717783322,0.9999751972336764,0.7188494151061398,0.9466059129824065,0.5203562347668083,0.5250312526617706,0.9980555830833926,0.9999149399887607
2003-08-01,0.9693073686333719,0.9912889142422568,0.5985029136731529,0.8780416160287301,0.9978472792348769,0.9999671062712242,0.7571521290175525,0.9558704813244068,0.5032767223059627,0.5243809422310811,0.996317108595264,0.9998878267876381
2003-09-01,0.9690818074891641,0.9909931697405481,0.6346568872265885,0.8931283612862959,0.9970277860238543,0.9999631048679622,0.8011160617724356,0.9630832577650763,0.4870018385823879,0.5262276610519028,0.9947990127782674,0.9998738451490812
2003-10-01,0.9610116313309782,0.9902937632348006,0.6235842604806724,0.9059616803471953,0.9954124298495806,0.9999627792244852,0.7835632622713564,0.9678158545971973,0.46133791254208467,0.5303903554540484,0.9923998367487835,0.999872525191989
2003-11-01,0.9843175174152392,0.990212623024338,0.7923185760801006,0.9195853018970448,0.996057663070866,0.9999662131655342,0.8985393090671647,0.9733625831855857,0.5546891111430776,0.5382119733472539,0.9915175324160973,0.9998813873666508
2003-12-01,0.979777070351613,0.9876750677368837,0.7811700096716807,0.9235120554836169,0.9953765901887044,0.9999701348767439,0.8895696618613553,0.9737168097869789,0.5305685298240694,0.5346956605882874,0.9907477944034024,0.9998977726304685
2004-01-01,0.927078618370579,0.9853745587024252,0.941244653046734,0.9290462711406906,0.9986488599297495,0.9999754899784425,0.9480671601877331,0.9750089760464128,0.6443190724386629,0.5340620812393366,0.9976700584607078,0.99991653913913
2004-02-01,0.9254492117884165,0.9859582578251815,0.9353233040325482,0.9180475270014106,0.9979072114570079,0.9999745059809401,0.9422112341893296,0.9729586664354984,0.6889670045283439,0.5195525571199016,0.9962082939708443,0.9999090632712166
2004-03-01,0.9725858163457254,0.9867497383908227,0.9372381309808009,0.907156417744587,0.9991782651732605,0.9999770686664371,0.9638187779504819,0.9717037383375786,0.6394749793424985,0.4965807278770916,0.9981536825227008,0.9999132141099154
2004-04-01,0.97544433147212,0.9847861782923364,0.8974066371323721,0.8951896853479187,0.9985417540744732,0.9999749437898422,0.9561244883042403,0.9685802977133164,0.5167280671561809,0.4789639174519865,0.9962837680827903,0.999907985621036
2004-05-01,0.9778194564694789,0.9821532686539926,0.9228916169441641,0.8882124736157422,0.9977818112547494,0.9999768408425511,0.9585490802855794,0.9666868380811373,0.5362638193373325,0.47494067132009965,0.9937019633104132,0.9999174742927797
2004-06-01,0.9738526888898361,0.9783775268450818,0.9200369118898375,0.8724597906620345,0.9985860967780271,0.9999819603973878,0.924691287247704,0.9598438367444291,0.3141577027244229,0.4682063728849768,0.9961090063722188,0.9999377322044114
2004-07-01,0.9771468508414511,0.9747800431441324,0.8651236299018341,0.856015095826552,0.9984840290121808,0.9999854933966674,0.9092563563280127,0.9565440297607479,0.26531981332615806,0.49057686896484354,0.9961568020488485,0.9999517765536211
2004-08-01,0.9344845620867228,0.9693796784517563,0.7197380120312163,0.8466742302361021,0.9978436724512956,0.9999892932697009,0.8648365673720033,0.9550484625303195,0.20593123732682084,0.522048275151932,0.9948484775414058,0.9999661931722057
2004-09-01,0.9117988380879989,0.9671178368530557,0.6979314959422954,0.8512721930722044,0.99720257726691,0.9999923363689089,0.8002476166638234,0.9570294961791397,0.2627136579603092,0.5672788848112301,0.9938741848375707,0.9999761544105141
2004-10-01,0.8939897854516217,0.9665934639671342,0.8100783028890779,0.8590230161793939,0.9998754391556687,0.9999953607109768,0.9455731572606807,0.962423446332617,0.5181700677737211,0.6055206356753151,0.9997203260705341,0.9999853395909696
2004-11-01,0.8540952436546472,0.9675269032347773,0.814287462000024,0.8571663889767077,0.9996545929602787,0.9999918447136933,0.9386234874101254,0.9589000127478993,0.5096281426055843,0.6128138783336379,0.999315675733417,0.9999764656678705
2004-12-01,0.839309092620145,0.9703361690974355,0.7764093551881756,0.8556378998032546,0.9992029810593929,0.9999881982394838,0.8943426608824027,0.9565477049038841,0.514355967810304,0.621912591528425,0.9985801035376494,0.9999677459353511
2005-01-01,0.8037970684939532,0.9738649300062073,0.6636433355241521,0.8560053249203932,0.9990550460067541,0.9999865540890278,0.8608561316030574,0.9555630303869962,0.42749765814419316,0.631220792487289,0.9984287217999551,0.9999641604091816
2005-02-01,0.7471222362035361,0.9785861907788078,0.611229222278147,0.867603916566397,0.9980065584265174,0.9999845707543946,0.8391591239926814,0.9575356425258721,0.3983788257480154,0.6518658470618155,0.9966136502781717,0.9999588329354898
2005-03-01,0.9224614572189935,0.9839256508768734,0.7292044602109298,0.8835320705902545,0.9987436252364069,0.9999849179828173,0.9282232436518641,0.9614038948042427,0.4142005552573623,0.6779669502714362,0.9973546410466854,0.9999585259692063
2005-04-01,0.8986732734108731,0.9839048377791016,0.5096753430556192,0.8908334887635573,0.998919567747341,0.9999842796091546,0.7519109195627063,0.9593144274716621,0.2928506724011135,0.7029477770544215,0.9978354753799441,0.9999580879809267
2005-05-01,0.9320673741520107,0.9849775466431845,0.7708467610019726,0.9129553536038382,0.9995933303380085,0.9999839334791072,0.8651446015896234,0.9661667803126255,0.6251152096769285,0.7428542152477648,0.9992044375770964,0.9999577349784321
2005-06-01,0.9233378768812093,0.9851396100690066,0.7419188082659303,0.9169175196541506,0.9991590361543596,0.9999784879755527,0.838200027265289,0.9681301707041989,0.610834647413807,0.7479336189875554,0.998530569887386,0.9999450295330508
2005-07-01,0.9108986866557098,0.9859153099226099,0.7355069752155154,0.9233446246447936,0.9985020918608103,0.9999763503053558,0.8381256726068671,0.9716552338604989,0.625094311499378,0.7551932882100171,0.9976140336337027,0.9999394825946843
2005-08-01,0.9318353153643364,0.9873558160018829,0.7963835384582736,0.930714408698784,0.9985225496428864,0.9999766601358885,0.8811249824339422,0.9755095339072613,0.6596059083452173,0.7617399647595602,0.9976452351189264,0.9999389753789163
2005-09-01,0.8307029945931516,0.9883841172574435,0.7723674291979359,0.9347995554889661,0.9989881527253843,0.9999778410701637,0.8722718360711531,0.9779370615058145,0.5531584130369208,0.7657577820974416,0.9985027618188427,0.9999411305443302
2005-10-01,0.8595042830688545,0.9912525915391872,0.808982055152013,0.9409698549172612,0.9981118341757673,0.9999724794811309,0.8957079105255261,0.9812020103406001,0.5436174385870602,0.7802648380668691,0.9971845009257965,0.9999256446472646
2005-11-01,0.8493074674500314,0.9934368982476192,0.8645585269814682,0.9454316455760485,0.9981494561410811,0.9999716650643906,0.9293610219306447,0.9831299339693935,0.6781460016549334,0.7967383803535235,0.9973787273851443,0.9999207221205888
2005-12-01,0.8795377064460894,0.9955358798885872,0.8859697247677477,0.9467200077457074,0.997094180181042,0.9999695117355771,0.9366681722928184,0.9834744889644333,0.7561562651979195,0.8024362599481483,0.9959905721349411,0.999912203575799
2006-01-01,0.926624293340901,0.9969553655581749,0.8848085327444877,0.9463490742829265,0.9972821467342052,0.999971981890298,0.9402318846318132,0.9830299220813817,0.765891195245191,0.7987369047860171,0.9959139403327362,0.9999149759266308
2006-02-01,0.9667053656655362,0.9977404073745534,0.9556811114283793,0.9468995578396315,0.9984330638053728,0.9999753098891037,0.9740065336656538,0.9827306516566189,0.7889477138377538,0.794526386041828,0.9975550489199917,0.9999225479455951
2006-03-01,0.9671073527576062,0.9979863517814689,0.9675960248240554,0.9365445537874766,0.9993176526384909,0.9999760819269252,0.974986038113375,0.9785461987952442,0.8694382091657333,0.7881744766263332,0.9990041800778809,0.9999247286507997
2006-04-01,0.9561099373278522,0.9983177800123086,0.9647099510824936,0.9216238852957894,0.998990233171812,0.9999684516467751,0.9653020037723171,0.9736406613312828,0.8588001212352971,0.76968653407261,0.9985881721544092,0.9998986087924626
2006-05-01,0.9902576401831951,0.9988016072949701,0.9763561926258002,0.9049925976045534,0.9994772938472365,0.9999618528249179,0.9806223799336871,0.9695951177167663,0.8165197313999584,0.7519037489935099,0.9989745118433486,0.9998712455899199
2006-06-01,0.9877014216624684,0.9985326305376275,0.9030865314481384,0.8806251238599457,0.9991663612381723,0.9999481439669601,0.9058022346563763,0.962145296627466,0.7349589765752951,0.7396673611665792,0.9982226451872703,0.9998324255716827
2006-07-01,0.9817771078768769,0.9982350037297898,0.8942457659913718,0.865224279909593,0.9982746535708493,0.9999379271519839,0.894209616760476,0.9597500812014328,0.7590673131861323,0.7366887262887886,0.9966905852301854,0.9998085971934254
2006-08-01,0.979463855063083,0.9981142121997622,0.873943119049471,0.8504542844607149,0.9979606369484701,0.9999369659691624,0.8809010200401219,0.9585005117189979,0.7443007387855547,0.7242174610436147,0.9962552110775486,0.9998100225954432
2006-09-01,0.9713221886787762,0.9980866498424531,0.7516203769480059,0.8383361627261051,0.9973494713240905,0.9999410083733371,0.8312985030560782,0.9585155239880252,0.6162490261992924,0.7141848897449542,0.9953512056773814,0.9998254391659696
2006-10-01,0.9672805501206609,0.998260508649969,0.6383998417899968,0.8385511436854821,0.9981571563016793,0.9999451781378885,0.7945809323663728,0.961206784707999,0.3971354052632482,0.7207725176285567,0.9969399043526894,0.9998376660047797
2006-11-01,0.9717710502157855,0.9985479607169138,0.736181281238327,0.8499397573734647,0.9973474688458505,0.9999391930838268,0.8240016718318841,0.9656091513810112,0.5657836251346399,0.756844745863224,0.994582761894651,0.9998160588035094
2006-12-01,0.9799070295399785,0.9986482028408061,0.7865709423956933,0.8520004343893319,0.9979976389815692,0.9999410321437303,0.8990143575016988,0.9691664627537793,0.5989401851696111,0.7720617253360597,0.996256123201383,0.9998225850962354
2007-01-01,0.9862548013073591,0.9986557042305872,0.7467785932486951,0.8494277925419333,0.998852743276772,0.9999312604136402,0.8560470920772129,0.9694298656634378,0.5724691142800666,0.7838939394987021,0.9978999638441253,0.9997936135181298
